page,year,date,locality,union_troops_engaged,union_killed,union_wounded,union_missing,confederate_killed,confederate_wounded,confederate_missing,remarks
,,Feb. 12th,"Chunky Station, Mississippi","20th, 29th, 31st, 45th, and 124th Illinois Volunteers, Seventeenth Corps, commanded by General Force",12,,,6,12,12,"See Sherman’s expedition to Meridian, Mississippi, February 3d"
,,Feb. 13th,"Vicksburg, Mississippi",52d U. S. Colored Troops (2d Mississippi),,3,3,,,,Official
99,,Feb. 13th,"Tunnel Hill, Mississippi","Cavalry advance of Major General Sherman’s forces, commanded by Colonel E. F. Winslow, 4th Iowa Cavalry",,,,,,,"See Sherman’s expedition to Meridian, Mississippi, February 3d. Report of Adjutant General of Iowa, 1864, page 966"
,,Feb. 14th,"Ross Landing, Grand Lake, Arkansas",51st U. S. Colored Troops (1st Mississippi),13,7,,,,,Official
,,Feb. 14th,"Meridian, Mississippi",Occupied by Major General Sherman’s forces,,,,,,,"See Sherman’s expedition to Meridian, Mississippi, February 3d"
,,Feb. 14th,"Gainesville, Florida","40th Massachusetts Volunteers, commanded by Captain G. E. Marshall",,,,,40,,"Official Report of Brigadier General F. Seymour, commanding"
,,Feb. 14th,"Brentsville, Virginia","13th Pennsylvania Cavalry, commanded by Major J. H. Larrimer, 5th Pennsylvania Reserves",4,1,,,,,
,,Feb. 14th and 15th,"Waterproof, Louisiana",49th U. S. Colored Troops (11th Louisiana) and the gunboat Forest Rose,8,14,,15,,5,
,,Feb. 16th,"Lauderdale Springs, Mississippi",32d Wisconsin Volunteers and an Indiana regiment,,,,,,,"See Sherman’s expedition to Meridian, Mississippi, February 3d"
,,Feb. 17th,"Marion, Mississippi",Portion of the Seventeenth Corps,,,,,,,"See Sherman’s expedition to Meridian, Mississippi, February 3d"
,,Feb. 17th,"Loss of the Housatonic in Charleston Harbor, South Carolina",,5,,,,,,Official Report of Rear-Admiral J. A. Dahlgren
,,Feb. 19th,"Grosse Tete Bayou, Louisiana",4th Wisconsin Cavalry,,2,,4,6,12,"Report of Adjutant General of Wisconsin, 1865, page 635"
,,Feb. 19th,"Waugh’s Farm, near Batesville, Independence  County, Arkansas","11th Missouri Cavalry and 4th Arkansas Infantry, commanded by Captain Wm. Castle, 11th Missouri Cavalry",3,4,40,6,10,,Official
,,Feb. 20th,"Holston River, Tennessee",4th Tennessee Volunteers,2,3,,5,10,15,"Report of Adjutant General of Tennessee, 1865, page 98"
,,Feb. 20th,"Olustee, Florida","47th, 48th, and 115th New York, 7th Connecticut, 7th New Hampshire, and 40th Massachusetts Volunteers, 1st Massachusetts Cavalry, 54th Massachusetts Colored  Troops, 1st North Carolina Colored Troops, 8th U. S. Colored Troops, 1st and 3d U. S. Artillery, and 3d Rhode Island Artillery",193,1175,460,100,400,,"Appendix to Part I, Medical and Surgical History of the War, page 243. Casualty List, S. G. O. Official Report of Brigadier General F. Seymour, commanding. Also designated Ocean Pond and Silver Lake"
,,Feb. 20th,"Prairie Station, Mississippi",,10,26,,,,,"See Smith’s raid in Mississippi, February 10th"
,,Feb. 21st,"West Point, Mississippi",,8,32,,,,,"See Smith’s raid in Mississippi, February 10th"
,,Feb. 22d,"Powel’s River Bridge, Tennessee",Two companies of the 34th Kentucky Infantry,,,,,,,"Report of Adjutant General of Kentucky, Vol. II, page 345"
,,Feb. 22d,"Cumberland Gap, Tennessee",One company of the 91st Indiana Volunteers,,,,,,,"Report of Adjutant General of Indiana, Vol. Ill, page 117"
,,Feb. 23d,"Mulberry Gap, Tennessee",9th Tennessee Cavalry,,13 kw,256,,,,Confederate statements. Also known as Wyerman's Mills
,,Feb. 22d,"Okalona and Mount Ivy, Mississippi",Brigadier Generals W. S. Smith’s and B. F. Grierson’s Cavalry Divisions,,100,,,50,,"Smith’s raid in Mississippi, February 1st, 1864. Also designated Ivy Hills"
,,Feb. 22d,"Drainesville, Virginia","Detachment of the 2d Massachusetts Cavalry, commanded  by Captain J. S. Reed",10,7,57,2,4,,"Report of Adjutant General of Massachusetts, 1864, page 946. Partizan Life with Mosby, page 203"
,,Feb. 22d,"Luna Landing, Arkansas",1st Mississippi Marine Brigade (Missouri Volunteers),,5,,,,,Official
,,Feb. 33d,"Willmarsh Island, South Carolina",85th Pennsylvania and 4th New Hampshire Volunteers,,4,,,,20,
,,Feb. 23d,"Johnson's Mills, White County, Tenn.",Detachment o the 5th Tennessee Cavalry,23,1,,,,,"Report of Adjutant General of Tennessee, 1866, p. 442. Prisoners killed by Champ Ferguson's guerillas"
100,,Feb. 23d,"Calf Killer Creek, Tennessee",5th Tennessee Cavalry,8,3,,25,,,"Report of Adjutant General of Tennessee, 1865, page 442"
,,Feb. 27th and 28th,"Near Canton, Mississippi","Foraging detachments, one of the 3d Iowa and another of the 32d Iowa Volunteers",2,6,20,3,15,,"Report of Adjutant General of Iowa, 1864"
,,Feb. 25th to 27th,"Buzzard Roost and Tunnel Hill, Rocky Face Ridge, Georgia","Fourth and Fourteenth Corps and Cavalry Corps, Army of the Cumberland",17,272,,20,120,,"Casualty List, S. G. O. Official Report of Major General G. H. Thomas, commanding. Appendix  to Part I, Medical and Surgical History of the War, page, 297"
,,Feb. 28th to Mar. 4th,"Kilpatrick’s raid from Stevensburg to Richmond, Virginia","Division of cavalry, Army of the Potomac",,,300 kwm,,,300 kwm,"Casualty List, S. G. O. Appendix to Part I, Medical and Surgical History of the War, page 79"
,,Feb. 28th,"Dukedom, Kentucky",7th Tennessee Cavalry,,,,,,,
,,Feb. 28th,"Near Yazoo City, Mississippi",3d U. S. Colored Cavalry (1st Mississippi),8,4,10,,,,"Official. See expedition up the Yazoo, Feb. 1st"
,,Feb. 29th,"New Berne, North Carolina",,,,,,,,
,,Feb. 29th,"Taylorsville, South Anna River, Va.",6th New York Cavalry,,,,,,,"See Kilpatrick’s raid, February 28th"
,,Mar. 1st,"Stanardsville and Burton’s Ford, Rapidan, Virginia","1st. 2d, 5th, and 6th U. S., 6th Pennsylvania, 1st New York, and 1st New Jersey Cavalry, commanded by Brigadier General Custer",,10,,,,30,"Casualty List, S. G. O"
,,Mar. 1st,"Brooks’ Turnpike, Richmond fortifications, Virginia",Cavalry of the Army of the Potomac,,,,1,7,,"See Kilpatrick’s raid, February 28th, 1864"
,,"Mar, 1st","Atlees, Bidnella Cross Roads, Virginia",Cavalry of the Army of the Potomac,,,,,,,"See Kilpatrick's raid, February 28th, 1864"
,,Mar. 2d,"Near Walkertown, Virginia","2d New York Cavalry, commanded by Colonel Ulric Dahlgren",,,,,,,"See Kilpatrick’s raid, February 28th, 1864. Col. Dahlgren killed"
,,Mar. 2d,"Harrisonburg, Louisiana","Mississippi squadron, commanded by Rear-Admiral Porter",2,14,,,,,Official
,,Mar. 3d,"Tunstall Station, Virginia",7th Michigan and 1st Vermont Cavalry,,,30,,,,"See Kilpatrick’s raid, February 28th, 1864"
,,Mar. 4th,"Rodney, Mississippi",Cavalry and infantry of the Mississippi Marine Brigade,2,3,5,,,,Official
,,Mar. 5th,"Panther Springs, Tennessee",One company of the 3d Tennessee,2,8,22,,30,,
,,Mar. 5th,"Yazoo City, Mississippi","3d U. S. Colored Cavalry (1st Mississippi), 47th U. S. Colored Troops (8th Louisiana), and the 11th Illinois Volunteers, commanded by Colonel J. H. Coates, 9th Illinois Volunteers",21,89,21,35,75,25,"Casualty List, File A, No. 414, S. G. O. See expedition up the Yazoo"
,,Mar. 5th,"Coleman’s, Mississippi",Mississippi Marine Brigade,,,,,,,Official
,,Mar. 6th,"Flint Creek, Arkansas",14th Kansas Cavalry,,,,,,,Official
,,Mar. 7th,"Decatur, Alabama","Troops of the Army of the Tennessee, commanded by Brigadier General Dodge",,,,,,,
,,Mar. 9th,"Suffolk, Virginia","2d U. S. Colored Cavalry, commanded by Colonel G. W. Cole",8,1,1,,25,,Official
,,Mar. 10th,"Cabletown, Virginia",1st New York Veteran Cavalry,3,,6,,,,"Partizan Life with Mosby, page 206"
101,,Mar. 13th,"Carrolton Store, Virginia",1st New York Mounted Rifles and 11th Pennsylvania Cavalry,,,,,20,70,Unofficial
,,Mar. 14th,"Cheek’s Cross Ronds, Tennessee","Cavalry, commanded by Colonel Israel Garrard, 7th Ohio Cavalry",,,,,,,
,,Mar. 14th,"Fort De Russy, Louisiana","Detachments of the Sixteenth and Seventeenth Army Corps, commanded by Brig. General A. J. Smith, and Mississippi squadron, commanded by Rear-Admiral Porter",7,41,,5,4,260,"Official. Casualty List, File A, No. 425, S. G. O"
,,Mar. 15th,"Clarendon, Arkansas",8th Missouri Cavalry,1,3,,,,,Official
,,Mar. 16th,"Fort Pillow, Tennessee",,,,,,50,,
,,Mar. 17th,"Manchester, Tennessee","5th Tennessee Cavalry, commanded by Colonel W. B. Stokes",,,,21,,,
,,Mar. 18th,"Monticello, Arkansas",7th Missouri Cavalry,,,2,,,,Official
,,Mar. 18th,"Calf Killer River, Tennessee","5th Tennessee Cavalry, commanded by Colonel W. B. Stokes",,,,8,,,"Report of Adjutant General of Tennessee, 1866, page 442"
,,Mar. 20th,"Bersheba Springs, Tennessee","5th Tennessee Cavalry, commanded by Captains Blackburn and Waters",,,,,,,"Report of Adjutant General of Tennessee, 1865 page 442"
,,Mar. 21st,"Henderson Hills, Louisiana","Detachment of the 16th Corps and Cavalry of the 19th Corps, commanded by Brigadier General Mower",,1,,8,,250,"Casualty List, S. G. O. Official Report of Major General N. P. Banks, commanding Red River expedition. Also designated Bayou Rapides"
,,Mar. 24th,"Union City, Kentucky","7th Tennessee Cavalry, commanded by Lieutenant Colonel J. R. Hawkins",,1,450,,,,"Official Report of N. B. Forrest, commanding Confederates. Post captured"
,,Mar. 25th,"Fort Anderson, Paducah, Kentucky","16th Kentucky Cavalry, 122d Illinois Infantry, and 8th U. S. Colored Heavy Artillery (1st Kentucky), commanded  by Colonel S. G. Hicks, 40th Illinois",14,46,30,10,40,,"Official Report of N. B. Forrest, commanding. Brigadier General A. P. Thompson, C. S. A., was killed"
,,Mar. 26th,"Longview, Arkansas","5th Kansas and 7th Missouri Cavalry, and 28th Wisconsin  Volunteers, commanded by Col. Powell Clayton",1,3,1,2,15,20,Official
,,Mar. 28th,"Danville, Arkansas",2d Kansas Cavalry,,,,,,,Official
,,Mar. 28th,"Arkadelphia, Arkansas","Advance cavalry, Seventh Corps, Major General Fred. Steele, commanding",,,3 kwm,,3 kw,15,
,,Mar. 28th,"Charleston, Illinois","Portion of the 54th Illinois Volunteers, commanded by Colonel G. M. Mitchel)",2,8,,3,4,12,"Report of Adjutant General of Illinois. Vol. II, page 76. The regiment, while re assembling from veteran furlough, was attacked by a mob of Copperheads "
,,Mar. 29th,"Bolivar, Tennessee",6tb Tennessee Cavalry,8,35,30,,,,"Report of Adjutant General of Tennessee, 1866, page 475. Casualty Return, S. G. O"
,,Mar. 30th,"Mount Elba, Arkansas","7th Missouri and 5th Kansas Cavalry, and 28th Wisconsin Volunteers, commanded by Col. Powell Clayton",3,15,,10,20,300,"Report of Adjutant General of Wisconsin, 1865, page 429"
,,Mar. 30th,"Grosso Tete Bayou, Louisiana",Detachment of the 118th Illinois Volunteers,,,,,,,"Report of Adjutant General of Illinois, Vol. II, page 545"
,,Mar. 31st,"Natchitoches, Louisiana","Cavalry of the 19th Corps, commanded by Brigadier General A. L. Lee",,,,6,,25,"Official Report of Major General N. P. Banks, commanding  Red River expedition"
,,Mar. 31st,"Roach's Plantation, near Snydersville, Mississippi",3d U. S. Colored Cavalry (1st Mississippi),16,3,1,3,7,,"Official. Also designated Brook’. Plantation. Casualty Return, S. G. O"
,,April 1st,"Near the Rappahannock, Virginia",Patrol of the 1st Connecticut Cavalry,,4,2,,,,"Report of Adjutant General of Connecticut, 1864, page 409"
,,April 1st,"Fitzhugh's Woods, Augusta, Arkansas",3d Minnesota Volunteers and 8th Missouri Cavalry,8,16,5,15,45,13,"Official Report of Colonel C. C. Andrews, 3d Minnesota Volunteers, commanding"
102,,April 2d,"Antoine, Arkansas",13th Illinois and 1st Iowa Cavalry,,,,,,,Engagement during Steele’s expedition co-opera-ting with Banks
,,April 2d,"Spoonville, Terre Noire Creek, Arkansas","29th Iowa, 50th Indiana, and 9th Wisconsin Volunteers, and 1st Missouri Cavalry, commanded by Brigadier General Rice",10,35,,,100 kw,,"Engagement during Steele's expedition co-opera-ting with General Banks' Red River expedition. Casualty List, S. G. O"
,,April 2d,"Crump’s Hill, Louisiana","14th New York, 2d Louisiana, 2d Illinois, and 16th Missouri  Cavalry, and 5th U. S. Colored Artillery, commanded  by Brigadier General A. L. Lee",,20,,10,25,60,"Official report of Major General Banks, commanding  Red River expedition. Also designated Piney Woods"
,,April 2d,"Cleveland, Tennessee",1st Wisconsin Cavalry,,,12,,,,Official
,,April 2d,"Pensacola, Florida","One company of the 14th New York Cavalry, commanded  by Captain Schmidt",,3,,,10,11,
,,April 3d,"Okalona, Arkansas","1st Missouri and 13th Illinois Cavalry, and 27th Wisconsin , 40th Iowa, 77th Ohio, and 43d Illinois Volunteers, of the 1st and 3d Divisions. Seventh Corps, commanded  by Colonel A. Engleman, 43d Illinois",16,74,,,,75 kwm,"Engagement during Steele's expedition co-operating with General Banks’ Red River expedition. Casualty List, S. G. O. "
,,April 4th,"Campti, Louisiana","2d and 18th New York and 3d Rhode Island Cavalry, 35th Iowa and 5th Minnesota Volunteers, commanded by Col. O. P. Gooding, 6th Massachusetts Cavalry",10,18,,3,12,,"Official Report of Major General N. P. Banks, commanding  Red River expedition"
,,April 4th to 6th,"Elkin’s Ford, Little Missouri River, Arkansas","43d Indiana, 29th and 36th Iowa Volunteers, Battery E, 2d Missouri Light Artillery, and 1st Iowa Cavalry, — 2d Brigade, 3d Division, Seventh Corps",5,33,,18,30,6,"Engagement during Steele’s campaign in Arkansas. Official Report of Colonel W. E. McLean, 43d Indiana, commanding"
,,April 5th,"Roseville, Arkansas",Seventy-five men of the 2d and 6th Kansas Cavalry,19,11,,15,25,11,Official. Engagement with guerrillas
,,April 5th,"Stone’s Farm, Arkansas","Twenty-six men of the 6th Kansas Cavalry, commanded  by Lieutenant McKibben",11,,,,,,"Official. Eleven of the detachment, including Assistant Surgeon S. A. Fairchilds, were taken prisoners and killed by guerrillas"
,,April 6th,"Quicksand Creek, Kentucky","Co. I, 14th Kentucky Volunteers, commanded by Capt. Reuben Patrick",,,,10,7,3,Unofficial
,,April 7th,"Wilson’s Farm, Louisiana","Advance Cavalry of Nineteenth Corps, commanded by Brigadier General A. L. Lee",14,39,9,15,40,100,"Casualty List, S. G. O. Official Report of Major General N. P. Banks, commanding Red River expedition"
,,April 7th,"Harney Lake Valley, Oregon",1st Oregon Cavalry,,,3,,,,Official
,,April 7th,"Plains’ Store, near Port Hudson, Louisiana ","Detachment of 118th Illinois and 21st New York Battery , and 3d Illinois Cavalry",1,4,6,,,2,"Report of Adjutant General of Illinois, Vol. II, page 545"
,,April 8th,"Pembescott Bayou, near Osceola, Arkansas","Battery I, 2d Missouri Light Artillery",4,7,,,,,Official
,,April 8th,"Wolf River, Tennessee",Cavalry commanded by Brig. Gen. B. H. Grierson,,8,,,,2,
,,April 8th,"Sabine Cross Roads, Louisiana","Cavalry Division, commanded by Brigadier General A. L. Lee; 3d and 4th Divisions, Thirteenth Corps, commanded  by Brigadier General Ransom; 1st Division, Nineteenth Corps, commanded by Brigadier General W. H. Emory, —Army of the Department of the Gulf, Major General N. P. Banks, commanding",200,900,1800,300,1200,,"Casualty List, File A, No. 279, S. G. O. Appendix to Part I, Medical and Surgical History of the War, page 335. Also designated Mansfield and Pleasant Grove. Among the casualties in the Confederate army were Major Gen. A. Mouton and Brigadier General M. M. Parsons, killed. In the Union army, Major General Franklin and Brigadier General Ransom were wounded"
103,,April 9th,"Pleasant Hills, Louisiana","Cavalry Division, commanded by Brigadier General A. L. Lee; 1st and 3d Divisions, Sixteenth Corps, commanded by Brigadier General A. J. Smith; and 1st Division, Nineteenth Corps, commanded by Major General Franklin",100,700,300,300,1200,500,"Casualty List, File A, No. 279, S. G. O. Official Report of Major General N. P. Banks, commanding Army of the Red River expedition. Appendix to Part I, Medical and Surgical History of the War, page 335. "
,,April 10th to 13th,"Prairie D’Ann, Arkansas","1st Arkansas, 18th, 29th, 33d, 36th, and 40th Iowa, 50th Indiana, 43d Illinois, 27th Wisconsin, and 12th Kansas  Volunteers; 2d and 3d Missouri, 13th Illinois, 2d, 6th, and 14th Kansas, and 1st Iowa Cavalry, and Battery A, 3d Illinois and 2d Indiana Artillery, — 3d Division, Seventh Corps",,,100 kwm,,,50 kwm,"Report of Adjutant General of Iowa, 1864, p. 1261. Official reports. Casualty List, S. G. O. An engagement during Steele's campaign in Arkansas, cooperating with Banks’ Red River expedition"
,,April 10th,"Little Cacapon, Virginia","Co. K, 54th Pennsylvania Volunteers",,,,,,,"Casualty List, S. G. O"
,,April 12th,"Fort Pillow, Tennessee","11th U. S. Colored Troops (also designated 6th U. S. Colored Heavy Artillery and 1st Alabama), Battery F, 2d U. S. Colored Light Artillery, and Bradford’s Battalion of 13th Tennessee Cavalry, —about 600 men",330,60,164,20,60,,"Official Report of the U. S. Senate investigating committee. Official Report of Major General N. B. Forrest, commanding Confederates"
,,April 12th,"Fremont’s Orchard, near Denver, Colorado Territory",Two companies of the 1st Colorado Cavalry,2,4,,,,,Official
,,April 12th,"Pleasant Hill Landing, Louisiana","Ironclads Osage and Lexington, of the Mississippi squadron, Rear-Admiral Porter commanding, and troops of the Seventeenth Corps on transports, T. Kilby Smith, commanding",,7,,,200 kw,,"Official Report of Major General N. P. Banks, commanding Red River expedition. Also designated Blair's Landing. The Confederate Gen. Thomas Green was killed"
,,April 13th,"Indian Bay, Arkansas",56th U. S. Colored Troops (3d Arkansas),,,,,,,Official
,,April 13th,"Florence, Alabama",Detachment of the 9th Ohio Cavalry,a,,41,,,,"Ohio in the War, Vol. 2, page 811"
,,April 13th,"Cleveland, Tennessee",1st Wisconsin Cavalry,,,20,,,,Official
,,April 13th,"Moscow, Arkansas","18th Iowa Volunteers, 2d Indiana Battery, and 6th Kansas Cavalry, —rear-guard of the 3d Division of the Seventh Corps",5,17,,,,30 kwm,"Casualty List, S. G. O. Engagement during Steele’s campaign in Arkansas"
,,April 13th,"Paintsville, Kentucky","Kentucky Volunteers, commanded by Colonel G. W. Gallup, 14th Kentucky",,,,,25,50,"Report of Adjutant General of Kentucky, Vol. II, page 425"
,,April 14th,"Smithfield, Virginia","9th New Jersey, 23d and 25th Massachusetts, and 118th New York Volunteers",,5,1,,6,6,"Report of Adjutant General of Massachusetts, 1864, page 646. Also designated Cherry Grove"
